estimator,ate_pp,se_pp,t_stat,p_value,ci_lo_pp,ci_hi_pp,raw_gap_pp,pct_unexplained,treatment_auc,outcome_auc,n_sample
"DML (X_FULL, 33 features)",-9.3851,0.0712,-131.801,0.0,-9.5247,-9.2456,14.9548,62.8,0.7316,0.8169,2000000
"DML (X_BASE, 4 features — matches Repo 1)",-13.1715,,,,,,14.9548,88.1,,,2000000
