year,gap,se,n_black,n_white
2020,14.576268854515106,0.1648658633902817,83232,453382
2021,13.089875843349796,0.1463304899261877,104231,458218
2022,14.195607349246831,0.17993502832912808,82773,281492
2023,15.191271689566733,0.2128527696697407,64076,198566
2024,14.745659024866619,0.2082681309962129,65688,208342
