year,auc,overlap_pct,n_black,n_white
2020,0.7345453778018263,97.53903459156942,83566,453906
2021,0.7227462153459253,97.8963759859071,104410,458143
2022,0.7160121194955973,97.91535476916562,82621,281038
2023,0.7125297674675852,98.49569955110852,64101,198546
2024,0.7116479136752213,98.75506542575155,65302,208367
